gpu,kernel,tag,M,N,K,iters,ms_med,ms_p99,tflops,vs_sgemm_pct,vs_tf32_pct,max_abs_err
NVIDIA A100 80GB PCIe,cublas_sgemm,sq256,256,256,256,50,0.0174,0.0185,1.93,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq256,256,256,256,50,0.0153,0.0161,2.19,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq256,256,256,256,50,0.0792,0.0800,0.42,22.0,19.3,
NVIDIA A100 80GB PCIe,v2,sq256,256,256,256,50,0.0155,0.0169,2.16,112.2,98.8,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq512,512,512,512,50,0.0330,0.0339,8.14,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq512,512,512,512,50,0.0164,0.0179,16.38,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq512,512,512,512,50,0.1395,0.1400,1.92,23.7,11.7,
NVIDIA A100 80GB PCIe,v2,sq512,512,512,512,50,0.0441,0.0444,6.09,74.8,37.2,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq1024,1024,1024,1024,50,0.1348,0.1382,15.94,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq1024,1024,1024,1024,50,0.0376,0.0385,57.11,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq1024,1024,1024,1024,50,0.2690,0.2701,7.98,50.1,14.0,
NVIDIA A100 80GB PCIe,v2,sq1024,1024,1024,1024,50,0.1946,0.1957,11.03,69.2,19.3,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq2048,2048,2048,2048,50,0.9781,0.9905,17.56,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq2048,2048,2048,2048,50,0.1783,0.1804,96.33,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq2048,2048,2048,2048,50,1.6380,1.6422,10.49,59.7,10.9,
NVIDIA A100 80GB PCIe,v2,sq2048,2048,2048,2048,50,1.6385,1.6629,10.49,59.7,10.9,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq4096,4096,4096,4096,50,7.4617,7.5042,18.42,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq4096,4096,4096,4096,50,1.2204,1.2533,112.61,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq4096,4096,4096,4096,50,10.6133,10.6206,12.95,70.3,11.5,
NVIDIA A100 80GB PCIe,v2,sq4096,4096,4096,4096,50,10.6130,10.6184,12.95,70.3,11.5,
NVIDIA A100 80GB PCIe,cublas_sgemm,sq8192,8192,8192,8192,50,58.0522,59.2100,18.94,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,sq8192,8192,8192,8192,50,9.6033,9.8358,114.49,,100.0,0
NVIDIA A100 80GB PCIe,v1,sq8192,8192,8192,8192,50,79.7122,80.1559,13.79,72.8,12.0,
NVIDIA A100 80GB PCIe,v2,sq8192,8192,8192,8192,50,79.9667,79.9961,13.75,72.6,12.0,
NVIDIA A100 80GB PCIe,cublas_sgemm,qkv_proj,16384,1152,384,50,0.7995,0.8181,18.13,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,qkv_proj,16384,1152,384,50,0.1662,0.1691,87.20,,100.0,0
NVIDIA A100 80GB PCIe,v1,qkv_proj,16384,1152,384,50,1.3256,1.3485,10.93,60.3,12.5,
NVIDIA A100 80GB PCIe,v2,qkv_proj,16384,1152,384,50,1.3116,1.3387,11.05,61.0,12.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,ffn_up,16384,1536,384,50,1.0515,1.0641,18.38,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,ffn_up,16384,1536,384,50,0.2074,0.2092,93.19,,100.0,0
NVIDIA A100 80GB PCIe,v1,ffn_up,16384,1536,384,50,1.7393,1.7544,11.11,60.5,11.9,
NVIDIA A100 80GB PCIe,v2,ffn_up,16384,1536,384,50,1.7151,1.7252,11.27,61.3,12.1,
NVIDIA A100 80GB PCIe,cublas_sgemm,ffn_down,16384,384,1536,50,1.1344,1.1799,17.04,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,ffn_down,16384,384,1536,50,0.1936,0.1962,99.85,,100.0,0
NVIDIA A100 80GB PCIe,v1,ffn_down,16384,384,1536,50,1.6901,1.7450,11.44,67.1,11.5,
NVIDIA A100 80GB PCIe,v2,ffn_down,16384,384,1536,50,1.3979,1.4283,13.83,81.1,13.8,
NVIDIA A100 80GB PCIe,cublas_sgemm,vocab_head,16384,65,384,50,0.0963,0.1003,8.50,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,vocab_head,16384,65,384,50,0.0588,0.0610,13.91,,100.0,0
NVIDIA A100 80GB PCIe,v1,vocab_head,16384,65,384,50,0.2031,0.3385,4.03,47.4,28.9,
NVIDIA A100 80GB PCIe,v2,vocab_head,16384,65,384,50,0.1453,0.1468,5.63,66.3,40.5,
NVIDIA A100 80GB PCIe,cublas_sgemm,big_ffn,8192,4096,1024,50,3.6902,3.6922,18.62,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,big_ffn,8192,4096,1024,50,0.6121,0.6743,112.26,,100.0,0
NVIDIA A100 80GB PCIe,v1,big_ffn,8192,4096,1024,50,5.2222,5.2688,13.16,70.7,11.7,
NVIDIA A100 80GB PCIe,v2,big_ffn,8192,4096,1024,50,5.2278,5.2549,13.14,70.6,11.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,tall,16384,256,256,50,0.1345,0.1488,15.97,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,tall,16384,256,256,50,0.0480,0.0497,44.74,,100.0,0
NVIDIA A100 80GB PCIe,v1,tall,16384,256,256,50,0.2760,0.2804,7.78,48.7,17.4,
NVIDIA A100 80GB PCIe,v2,tall,16384,256,256,50,0.1673,0.1682,12.84,80.4,28.7,
NVIDIA A100 80GB PCIe,cublas_sgemm,wide,256,16384,256,50,0.1335,0.1347,16.09,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,wide,256,16384,256,50,0.0416,0.0430,51.58,,100.0,0
NVIDIA A100 80GB PCIe,v1,wide,256,16384,256,50,0.2696,0.2748,7.97,49.5,15.4,
NVIDIA A100 80GB PCIe,v2,wide,256,16384,256,50,0.1637,0.1648,13.12,81.5,25.4,
NVIDIA A100 80GB PCIe,cublas_sgemm,tiny_M,128,4096,4096,50,0.2605,0.2634,16.49,100.0,,0
NVIDIA A100 80GB PCIe,cublas_tf32,tiny_M,128,4096,4096,50,0.0713,0.0806,60.27,,100.0,0
NVIDIA A100 80GB PCIe,v1,tiny_M,128,4096,4096,50,1.0668,1.0737,4.03,24.4,6.7,
NVIDIA A100 80GB PCIe,v2,tiny_M,128,4096,4096,50,0.5309,0.5342,8.09,49.1,13.4,
